Record ID,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
6.34133E+17,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1
6.34134E+17,1,1,1,1,1,2,2,1,2,1,1,1,-1,2,2,2,1,1,1,2,1,1,1,2,1,2,2,1,1,2
6.34139E+17,1,1,1,1,1,1,2,1,1,1,1,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.3414E+17,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6.34147E+17,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6.34148E+17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0
6.34152E+17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6.34154E+17,-1,1,1,-1,-2,0,1,0,1,-2,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,0,-1,-1,0,0,0,-2,-2
6.34158E+17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6.34159E+17,1,1,1,0,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,1,2,2
6.34159E+17,0,2,2,1,0,0,1,0,1,-1,1,1,1,1,2,0,2,2,2,-1,0,-1,1,2,2,2,2,1,2,1
6.34172E+17,1,2,2,0,2,2,2,1,1,1,1,1,1,2,1,2,2,2,2,1,0,2,2,1,1,1,2,2,1,1
6.34172E+17,2,2,2,0,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,2,1,1,1
6.34173E+17,1,0,0,-1,1,0,1,1,1,0,1,1,-1,0,1,-1,-1,1,1,-2,-2,-2,-2,1,1,1,-1,-2,1,1
6.34173E+17,0,1,1,0,1,0,0,-1,1,-2,-1,-1,1,,-1,2,1,1,1,1,1,1,1,-1,1,-2,1,1,1,1
6.34176E+17,-2,1,1,0,1,-2,2,-2,1,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2
6.34177E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34177E+17,1,1,0,0,-1,0,1,1,1,-2,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-2
6.34178E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34182E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34182E+17,0,-2,-2,-2,-2,0,1,0,-1,-1,0,0,0,0,1,-1,-2,-2,1,-2,-2,-2,-2,0,1,0,1,-2,-2,0
6.34183E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34185E+17,-2,1,1,-2,-2,0,1,1,1,-1,1,0,0,2,2,2,2,2,2,2,2,2,2,0,-1,1,2,1,2,2
6.34191E+17,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,2,0,1,2
6.34191E+17,1,1,1,0,1,-1,0,0,-1,-1,0,0,0,0,2,1,1,1,1,1,1,1,1,-1,-1,-1,1,0,1,-1
6.34191E+17,1,2,2,1,0,1,2,2,0,1,1,1,0,1,1,2,2,2,1,1,1,1,2,0,0,1,0,2,0,1
6.34193E+17,-2,0,-1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,0,1,0,-1,1,1,1,1,1,1,-2,2,0,-2,-2
6.34193E+17,1,1,1,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,-1,-1,-1,1,1,1,2,2,1,1,2
6.34195E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34199E+17,1,0,0,-1,2,2,2,1,1,0,1,1,1,1,1,1,-1,0,1,-1,-1,-1,-1,0,0,0,-2,0,1,1
6.342E+17,1,1,1,0,-1,0,1,1,1,1,0,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
6.342E+17,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2
6.342E+17,1,1,1,0,-1,1,0,1,1,0,-1,-1,0,0,1,0,0,1,2,-1,-1,-1,0,1,0,0,1,0,1,1
6.34201E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34202E+17,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0
6.34206E+17,1,1,1,0,-1,-2,0,0,1,-1,0,0,0,0,2,2,1,1,1,1,1,1,1,1,0,0,1,1,1,0
6.34206E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34208E+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.34208E+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.34208E+17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6.34209E+17,-1,-1,-1,-1,0,,-1,,,,-1,-1,-1,,,,,,,,,,,,,,,,,
6.34209E+17,-1,-2,0,0,,-1,0,0,-1,0,-2,,,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,-1,0,0,0
6.34209E+17,1,0,-1,0,-1,-1,0,-1,,,,,,,,,,,,,,,,,1,0,1,0,,
6.34209E+17,0,1,2,1,-1,-1,-1,-2,-1,,,,,0,2,1,1,1,2,0,0,0,0,1,1,1,1,1,1,1
6.34209E+17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.34209E+17,0,-1,0,-2,-2,-1,1,1,1,,,,,1,1,1,1,1,0,-1,1,1,,,,,,,,
6.34209E+17,0,0,0,1,1,0,0,0,0,,,,,0,2,2,0,0,1,1,,,1,1,-1,0,1,0,,
6.34212E+17,-1,-1,-1,0,0,0,-1,-1,-2,-1,0,0,-1,-1,-1,2,-1,-1,-2,-1,-1,-1,1,2,0,-2,-1,-1,-2,-1
6.34212E+17,1,0,0,0,1,-1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,,0,0
6.34213E+17,1,2,2,0,-1,1,2,1,2,0,1,1,1,1,2,2,2,2,1,2,1,1,1,2,0,1,-1,1,2,2
6.34214E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34214E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34214E+17,1,1,0,-1,-1,1,1,1,-1,0,1,1,1,-1,1,1,1,1,-1,0,0,0,-1,1,1,0,2,-1,1,1
6.34215E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
6.34217E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34218E+17,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2
6.34219E+17,1,1,1,1,-1,1,1,1,1,,,,,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,
6.34219E+17,0,1,0,-1,-1,-2,-2,-1,-2,0,-1,-1,1,-1,2,1,0,0,1,1,1,1,0,1,0,-2,-1,1,-1,0
6.34219E+17,-1,-2,,-2,1,-2,-2,-2,-2,-1,1,-1,-2,-1,2,-2,-2,2,2,-2,-2,-2,-2,2,-2,-1,1,-2,2,-1
6.34219E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34219E+17,1,2,2,2,2,2,2,2,2,2,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.34219E+17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
